subject,year,question_text,option_a,option_b,option_c,option_d,correct_option
Commerce,2007,The first stage in tourism planing is?,assessing feedback from tourists,preparing a list of tourists,creating recreational opportunities,building community support,B
Commerce,2007,An agreement by the insurer to compensate the insured for losses suffered is?,policy,surrender value,caveat emptor,indemnity,D
Commerce,2007,One of the functions of the Nigeria Ports Authority is the provision of?,facilities to enhance the speedy loading and offloading of cargoes,facilities to ensure that goods get to their destinations,shelter for operators of cargoes,courier services to ensure speedy delivery,A
Commerce,2007,The World Tourism Organization has its headquarters in?,New York,Paris,Madrid,London,C
Commerce,2007,Digital computer is divided into?,"analogue, hybrid and mini","super, maniframe, mini and micro","mainframe, hybrid and micro","super, mainframe, micro and analogue",B
Commerce,2007,A distinctive advantage of GSM is its?,mobility,cost,stability,coverage,A
Commerce,2007,"In the permanent storage device, DASD means?",Data Access Storage Device,Data Access Systems Device,Direct Access Systems Device,Direct Access Storage Device,D
Commerce,2007,The major determinant of fire insurance premium is the?,type and structure of the property to be insured,usefulness of the property to the owner,owner of the property to be insured,extent of fire damage anticipated,A
Commerce,2007,The internet is a system of telecommunications used for?,communicating long-distance messages,sending and recieving text massages,sending electronic messages,communicating messages through telegrams,C
Commerce,2007,A written agreement for hiring a ship for transporting goods is a?,consular invoice,bill of lading,charter party,certificate of origin,C
Commerce,2007,The major function of a trade association is that it?,liases with foreign trade associations,helps to promotes foreign trade,facilitates members' access to credit facilities,helps to promote research on behalf of members,D
Commerce,2007,A major setback of international trade is?,inadequate exports,economic sanctions,devaluation of currency,exchange rate appreciation,B
Commerce,2007,Which of the following requires payment into the payee's account?,Crossed cheque,Traveller's cheque,Open cheque,Certified chegues,A
Commerce,2007,The traditional way of paying cooperative dividend is to distribute profit in proportional to members'?,subscriptions,total savings,volume of purchase,contributions,C
Commerce,2007,A share premium is an example of?,issued capital,capital stock,equity capital,capital reserve,D
Commerce,2007,The abbreviation C and F indicate that the?,production cost excludes the cost of carriage,selling price includes the cost of carriage,cost of production includes dilivery charges,cost price includes the cost of carriage,B
Commerce,2007,The sale of of foreign investment and gold reserves can be used to?,correct adverse balance of trade,increase invisible imports,correct adverse balance of payment,correct a budget deficit,A
Commerce,2007,A major benefit a debtor can derive from using a credit facility is?,better service,goodwill,convenience,control,C
Commerce,2007,The function of money that facilitates the comparison of the quality of goods as a basis of exchange is the?,unit of account,measure of value,store of value,medium of exchange,B
Commerce,2007,The difference between the buying and selling price of shares is known as?,brokerage,margin,jobber's turn,gross profit,C
Commerce,2007,Which of the is a risk-free security?,Preference share,Ordinary share,Treasury bill,Debenture,C
Commerce,2007,The central bank controls the quantity of money in circulation through?,open-market operations,decreasing the tax rate,issuing new currencies,increasing the tax rate,A
Commerce,2007,The selling of new shares to existing shareholders is referred to as?,public issue,offer for sale,rights issue,bonus issue,C
